Id,Text,sentiment
1660564507054465029,"Kerusuhan di Kanjuruhan membuat FIFA memandang lemahnya keamanan di Indonesia dan mencabut Indonesia sebagai tuan rumah Piala Dunia U20. 
#GanjarAkanJadikanRIKuat #LISA Becca Yakarta giselle Ferdy Sambo karina COVID-19 WORLD TOUR https://t.co/zbNs9OLbzo",
1660564421750693889,FIFA batalkan Rencana Indonesia Jadi Tuan Rumah Piala Dunia U20 karena Kerusuhan di Kanjuruhan. #GanjarAkanJadikanRIKuat #LISA Becca Yakarta giselle Ferdy Sambo karina COVID-19 WORLD TOUR https://t.co/BxesfbIq16,
1660564345594716161,Kerusuhan di Stadion Kanjuruhan menjadi alasan FIFA membatalkan pegelaran piala dunia u20 di Indonesia. #GanjarAkanJadikanRIKuat #LISA Becca Yakarta giselle Ferdy Sambo karina COVID-19 WORLD TOUR https://t.co/g3I4Bcz8ja,
1660551953909420035,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660551913014960129,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660547262819495936,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660546613113421826,@ferdinand_mpu Terlalu banyak yg dikecewakan saat Indonesia gagal jadi host piala dunia U20,
1660545799670099968,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660542925531672579,Kerusuhan di Kanjuruhan Memicu Pembatalan Piala Dunia U20 di Indonesia karena Faktor Keamanan yang sangat minim. #GanjarAkanJadikanRIKuat #PS08SambangiPesantren Becca Messi Argentina https://t.co/CuDfhsqscY,
1660542880199610369,FIFA Resmi Coret Nama Indonesia sebagai Tuan Rumah Piala Dunia U20 efek tragis Kejadian di Kanjuruhan #GanjarAkanJadikanRIKuat #PS08SambangiPesantren Becca Messi Argentina https://t.co/6DfttLX9tS,
1660542841293254658,Kerusuhan di Kanjuruhan membuat FIFA memandang lemahnya keamanan di Indonesia dan mencabut Indonesia sebagai tuan rumah Piala Dunia U20 #GanjarAkanJadikanRIKuat #PS08SambangiPesantren Becca Messi Argentina https://t.co/I9mHCkMsAo,
1660542802621784065,FIFA batalkan Rencana Indonesia Jadi Tuan Rumah Piala Dunia U20 karena Kerusuhan di Kanjuruhan #GanjarAkanJadikanRIKuat #PS08SambangiPesantren Becca Messi Argentina https://t.co/QE86Hrkg3I,
1660542764638154752,Kerusuhan di Stadion Kanjuruhan menjadi alasan FIFA membatalkan pegelaran piala dunia u20 di Indonesia #GanjarAkanJadikanRIKuat #PS08SambangiPesantren Becca Messi Argentina https://t.co/FRFxqj3Z7Q,
1660541786924941313,"RT @badboyz46c: @theaseanball Balas budi karena Indonesia dah rela melepas jatah jadi host Piala Dunia U20 ke mereka. 

Kalau ga mana mau A…",
1660536660357181441,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660532558516596736,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660531831547232257,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660531603838488576,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660529193627832320,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660528992745852929,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660526119421116416,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660525964135387136,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660525200121683968,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660524986887716865,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660523713278930944,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660519077872541696,@ganjarpranowo tetap kawal indonesia gagal piala dunia u20 ?,
1660518720824049664,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660515693627060224,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660515052393476096,RT @gilabola_ina: Mungkin alasan Argentina mau bertanding menghadapi Indonesia adalah sebagai tanda Terima kasih kepada Indonesia untuk slo…,
1660509934990286849,RT @gilabola_ina: Mungkin alasan Argentina mau bertanding menghadapi Indonesia adalah sebagai tanda Terima kasih kepada Indonesia untuk slo…,
1660503296313016321,@ganjarpranowo Klo bendera merah putih ada di piala dunia U20 dam kita nyanyi lagu Indonesia Raya pasti merinding sih pak,
1660502937817460736,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660500329111371776,"RT @GOAL_ID: Piala Dunia U-20 tahun ini digelar di Argentina yang menggantikan Indonesia sebagai tuan rumah ?

#WCU20 #Argentina2023 

http…",
1660498797095698432,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660498720776134656,"Piala Dunia U-20 tahun ini digelar di Argentina yang menggantikan Indonesia sebagai tuan rumah ?

#WCU20 #Argentina2023 

https://t.co/OXQKqPyI72",
1660495055088660480,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660493269955137537,"RT @HeryadiSoebrata: ---Pertandingan Final Sea Gemes 2023 Cambodia sepakbola Indonesia 5 Vs Thailand 2, mengalahkan RATING pertandingan Pia…",
1660492747038687232,RT @gilabola_ina: Mungkin alasan Argentina mau bertanding menghadapi Indonesia adalah sebagai tanda Terima kasih kepada Indonesia untuk slo…,
1660490185359126529,RT @gilabola_ina: Mungkin alasan Argentina mau bertanding menghadapi Indonesia adalah sebagai tanda Terima kasih kepada Indonesia untuk slo…,
1660490082024030208,"@ganjarpranowo dan anda juga yg gagalin piala dunia u20 main di indonesia, krn anda lebih taat dengan partai anda, bukan dengan bangsa indonesia",
1660489156345360385,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660488471495188480,@Argentina @Socceroos Hadiah dari argentina untuk indonesia karena indonesia telah melepas tuan rumah piala dunia U20 ke argentina hahaha,
1660484192801800193,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660483658271330309,RT @gilabola_ina: Mungkin alasan Argentina mau bertanding menghadapi Indonesia adalah sebagai tanda Terima kasih kepada Indonesia untuk slo…,
1660482408620363776,"Pak ganjar ini sepertinya masih mencoba memperbaiki citranya thd pecinta bola, yg justru membuat muak. Piala Dunia u20 harusnya sedang berlangsung sekarang di Indonesia https://t.co/6SAlIko5mY",
